[EXP] 0: [sr]: 0, [score]: 0.7499999999999999, [grounding_acc]: 1.0, [score_state]: [(0, 0.5833333333333333), (3, 0.7499999999999999)] 
[EXP] 1: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 1.0)] 
[EXP] 23: [sr]: 0, [score]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.2222222222222222), (2, 0.4444444444444444), (4, 0.6666666666666666)] 
[EXP] 24: [sr]: 0, [score]: 0.5, [grounding_acc]: 1.0, [score_state]: [(1, 0.25), (2, 0.3333333333333333), (5, 0.5)] 
[EXP] 25: [sr]: 0, [score]: 0.7999999999999999, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 0.7999999999999999)] 
[EXP] 26: [sr]: 0, [score]: 0.9333333333333333, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 0.9333333333333333)] 
[EXP] 27: [sr]: 0, [score]: 0.5555555555555556, [grounding_acc]: 0.8333333333333334, [score_state]: [(1, 0.2222222222222222), (2, 0.4444444444444444), (11, 0.5555555555555556)] 
[EXP] 28: [sr]: 0, [score]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.2222222222222222), (2, 0.4444444444444444), (3, 0.6666666666666666)] 
[EXP] 29: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 1.0)] 
[EXP] 30: [sr]: 0, [score]: 0.39999999999999997, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.36666666666666664), (3, 0.39999999999999997)] 
[EXP] 31: [sr]: 0, [score]: 0.25, [grounding_acc]: 0.6666666666666666, [score_state]: [(1, 0.08333333333333333), (2, 0.16666666666666666), (5, 0.25)] 
[EXP] 32: [sr]: 0, [score]: 0.75, [grounding_acc]: 1.0, [score_state]: [(1, 0.25), (2, 0.5), (3, 0.75)] 
[EXP] 33: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 1.0)] 
[EXP] 34: [sr]: 0, [score]: 0.2333333333333333, [grounding_acc]: 1.0, [score_state]: [(1, 0.16666666666666666), (2, 0.19999999999999998), (3, 0.2333333333333333)] 
[EXP] 35: [sr]: 0, [score]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.5), (4, 0.6666666666666666)] 
[EXP] 36: [sr]: 0, [score]: 0.5833333333333333, [grounding_acc]: 1.0, [score_state]: [(1, 0.25), (2, 0.41666666666666663), (4, 0.5833333333333333)] 
[EXP] 37: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 1.0)] 
[EXP] 38: [sr]: 0, [score]: 0.25, [grounding_acc]: 1.0, [score_state]: [(1, 0.08333333333333333), (2, 0.16666666666666666), (4, 0.25)] 
[EXP] 39: [sr]: 0, [score]: 0.4444444444444444, [grounding_acc]: 1.0, [score_state]: [(1, 0.2222222222222222), (2, 0.3333333333333333), (3, 0.4444444444444444)] 
[EXP] 40: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (5, 1.0)] 
[EXP] 41: [sr]: 0, [score]: 0.75, [grounding_acc]: 1.0, [score_state]: [(1, 0.25), (2, 0.5), (3, 0.75)] 
[EXP] 42: [sr]: 0, [score]: 0.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 43: [sr]: 0, [score]: 0.9166666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 0.9166666666666666)] 
[EXP] 44: [sr]: 0, [score]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.2222222222222222), (2, 0.4444444444444444), (3, 0.6666666666666666)] 
[EXP] 45: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 1.0)] 
[EXP] 46: [sr]: 0, [score]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.5), (4, 0.6666666666666666)] 
[EXP] 47: [sr]: 0, [score]: 0.8888888888888888, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 0.8888888888888888)] 
[EXP] 48: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 1.0)] 
[EXP] 49: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 1.0)] 
[EXP] 50: [sr]: 0, [score]: 0.5, [grounding_acc]: 1.0, [score_state]: [(1, 0.16666666666666666), (2, 0.3333333333333333), (4, 0.5)] 
[EXP] 51: [sr]: 0, [score]: 0.5833333333333333, [grounding_acc]: 1.0, [score_state]: [(1, 0.25), (2, 0.41666666666666663), (3, 0.5833333333333333)] 
[EXP] 52: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 1.0)] 
[EXP] 53: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 1.0)] 
[EXP] 54: [sr]: 0, [score]: 0.9166666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 0.9166666666666666)] 
[EXP] 55: [sr]: 0, [score]: 0.8888888888888888, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 0.8888888888888888)] 
[EXP] 56: [sr]: 0, [score]: 0.8888888888888888, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 0.8888888888888888)] 
[EXP] 57: [sr]: 0, [score]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.5), (3, 0.6666666666666666)] 
[EXP] 58: [sr]: 0, [score]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.2222222222222222), (2, 0.4444444444444444), (4, 0.6666666666666666)] 
[EXP] 59: [sr]: 0, [score]: 0.5, [grounding_acc]: 1.0, [score_state]: [(1, 0.16666666666666666), (2, 0.3333333333333333), (3, 0.5)] 
[EXP] 60: [sr]: 0, [score]: 0.8333333333333333, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.5833333333333333), (5, 0.8333333333333333)] 
[EXP] 61: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 1.0)] 
[EXP] 62: [sr]: 0, [score]: 0.8888888888888888, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 0.8888888888888888)] 
[EXP] 63: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (5, 1.0)] 
[EXP] 64: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 1.0)] 
[EXP] 65: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (5, 1.0)] 
[EXP] 66: [sr]: 0, [score]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.5), (3, 0.6666666666666666)] 
[EXP] 67: [sr]: 0, [score]: 0.8888888888888888, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 0.8888888888888888)] 
[EXP] 68: [sr]: 0, [score]: 0.9166666666666666, [grounding_acc]: 0.8333333333333334, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (5, 0.9166666666666666)] 
[EXP] 69: [sr]: 0, [score]: 0.75, [grounding_acc]: 1.0, [score_state]: [(1, 0.25), (2, 0.5), (3, 0.75)] 
[EXP] 70: [sr]: 0, [score]: 0.8888888888888888, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 0.8888888888888888)] 
[EXP] 71: [sr]: 0, [score]: 0.8888888888888888, [grounding_acc]: 0.8, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 0.8888888888888888)] 
[EXP] 72: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 1.0)] 
[EXP] 73: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 1.0)] 
[EXP] 74: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 1.0)] 
[EXP] 75: [sr]: 0, [score]: 0.9166666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 0.9166666666666666)] 
[EXP] 76: [sr]: 0, [score]: 0.5, [grounding_acc]: 1.0, [score_state]: [(1, 0.16666666666666666), (2, 0.3333333333333333), (3, 0.5)] 
[EXP] 77: [sr]: 0, [score]: 0.7777777777777778, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.5555555555555556), (3, 0.7777777777777778)] 
[EXP] 78: [sr]: 0, [score]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.2222222222222222), (2, 0.3333333333333333), (4, 0.6666666666666666)] 
[EXP] 79: [sr]: 0, [score]: 0.9166666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 0.9166666666666666)] 
[EXP] 80: [sr]: 0, [score]: 0.06666666666666667, [grounding_acc]: 0.23333333333333334, [score_state]: [(1, 0.03333333333333333), (2, 0.06666666666666667)] 
[EXP] 81: [sr]: 0, [score]: 0.7777777777777778, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.5555555555555556), (3, 0.7777777777777778)] 
[EXP] 82: [sr]: 0, [score]: 0.6666666666666666, [grounding_acc]: 0.8, [score_state]: [(1, 0.2222222222222222), (2, 0.4444444444444444), (4, 0.6666666666666666)] 
[EXP] 83: [sr]: 0, [score]: 0.7222222222222222, [grounding_acc]: 0.8333333333333334, [score_state]: [(1, 0.2777777777777778), (2, 0.5), (5, 0.7222222222222222)] 
[EXP] 84: [sr]: 0, [score]: 0.8, [grounding_acc]: 1.0, [score_state]: [(1, 0.26666666666666666), (2, 0.5333333333333333), (4, 0.8)] 
[EXP] 85: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (5, 1.0)] 
[EXP] 86: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (5, 1.0)] 
[EXP] 87: [sr]: 0, [score]: 0.8888888888888888, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 0.8888888888888888)] 
[EXP] 88: [sr]: 0, [score]: 0.4444444444444444, [grounding_acc]: 1.0, [score_state]: [(1, 0.2222222222222222), (2, 0.3333333333333333), (3, 0.4444444444444444)] 
[EXP] 89: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (5, 1.0)] 
[EXP] 90: [sr]: 0, [score]: 0.25, [grounding_acc]: 1.0, [score_state]: [(1, 0.08333333333333333), (2, 0.16666666666666666), (4, 0.25)] 
[EXP] 91: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 1.0)] 
[EXP] 92: [sr]: 0, [score]: 0.5833333333333334, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.5), (3, 0.5833333333333334)] 
[EXP] 93: [sr]: 0, [score]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.2222222222222222), (2, 0.4444444444444444), (3, 0.6666666666666666)] 
[EXP] 94: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 1.0)] 
[EXP] 95: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 1.0)] 
[EXP] 96: [sr]: 0, [score]: 0.5833333333333333, [grounding_acc]: 0.8571428571428571, [score_state]: [(1, 0.25), (2, 0.41666666666666663), (13, 0.5833333333333333)] 
[EXP] 97: [sr]: 0, [score]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.2222222222222222), (2, 0.4444444444444444), (4, 0.6666666666666666)] 
[EXP] 98: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 1.0)] 
[EXP] 99: [sr]: 0, [score]: 0.5833333333333333, [grounding_acc]: 1.0, [score_state]: [(1, 0.25), (2, 0.41666666666666663), (3, 0.5833333333333333)] 
[EXP] 100: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 1.0)] 
[EXP] 101: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 1.0)] 
[EXP] 102: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (5, 1.0)] 
[EXP] 103: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 1.0)] 
[EXP] 104: [sr]: 0, [score]: 0.8666666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 0.8666666666666666)] 
[EXP] 105: [sr]: 0, [score]: 0.07500000000000001, [grounding_acc]: 1.0, [score_state]: [(1, 0.025000000000000005), (2, 0.05000000000000001), (3, 0.07500000000000001)] 
[EXP] 106: [sr]: 0, [score]: 0.8888888888888888, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 0.8888888888888888)] 
[EXP] 107: [sr]: 0, [score]: 0.375, [grounding_acc]: 0.8333333333333334, [score_state]: [(1, 0.3333333333333333), (2, 0.35), (5, 0.375)] 
[EXP] 108: [sr]: 0, [score]: 0.8333333333333333, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.5833333333333333), (3, 0.8333333333333333)] 
[EXP] 109: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 1.0)] 
[EXP] 110: [sr]: 0, [score]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.2222222222222222), (2, 0.3333333333333333), (4, 0.6666666666666666)] 
[EXP] 111: [sr]: 0, [score]: 0.8888888888888888, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 0.8888888888888888)] 
[EXP] 112: [sr]: 0, [score]: 0.1111111111111111, [grounding_acc]: 0.9, [score_state]: [(1, 0.1111111111111111)] 
[EXP] 113: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (5, 1.0)] 
[EXP] 114: [sr]: 0, [score]: 0.9333333333333333, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 0.9333333333333333)] 
[EXP] 115: [sr]: 0, [score]: 0.9166666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 0.9166666666666666)] 
[EXP] 116: [sr]: 0, [score]: 0.3333333333333333, [grounding_acc]: 1.0, [score_state]: [(1, 0.1111111111111111), (2, 0.2222222222222222), (3, 0.3333333333333333)] 
[EXP] 117: [sr]: 0, [score]: 0.41666666666666663, [grounding_acc]: 0.7391304347826086, [score_state]: [(1, 0.16666666666666666), (2, 0.3333333333333333), (22, 0.41666666666666663)] 
[EXP] 118: [sr]: 0, [score]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.5), (3, 0.6666666666666666)] 
[EXP] 119: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 1.0)] 
[EXP] 120: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 1.0)] 
[EXP] 121: [sr]: 0, [score]: 0.41666666666666663, [grounding_acc]: 1.0, [score_state]: [(1, 0.25), (2, 0.41666666666666663)] 
[EXP] 122: [sr]: 0, [score]: 0.5277777777777777, [grounding_acc]: 1.0, [score_state]: [(0, 0.41666666666666663), (3, 0.5277777777777777)] 
[EXP] 123: [sr]: 0, [score]: 0.8888888888888888, [grounding_acc]: 0.8, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 0.8888888888888888)] 
[EXP] 124: [sr]: 0, [score]: 0.6666666666666666, [grounding_acc]: 0.8, [score_state]: [(1, 0.3333333333333333), (2, 0.5), (4, 0.6666666666666666)] 
[EXP] 125: [sr]: 0, [score]: 0.7777777777777778, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.5555555555555556), (4, 0.7777777777777778)] 
[EXP] 126: [sr]: 0, [score]: 0.9166666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 0.9166666666666666)] 
[EXP] 127: [sr]: 0, [score]: 0.8888888888888888, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 0.8888888888888888)] 
[EXP] 128: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 1.0)] 
[EXP] 129: [sr]: 0, [score]: 0.5, [grounding_acc]: 1.0, [score_state]: [(1, 0.16666666666666666), (2, 0.3333333333333333), (3, 0.5)] 
[EXP] 130: [sr]: 0, [score]: 0.41666666666666663, [grounding_acc]: 0.6666666666666666, [score_state]: [(1, 0.16666666666666666), (2, 0.3333333333333333), (5, 0.41666666666666663)] 
[EXP] 131: [sr]: 0, [score]: 0.75, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.5), (4, 0.75)] 
[EXP] 132: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 1.0)] 
[EXP] 133: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 1.0)] 
[EXP] 134: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 1.0)] 
[EXP] 135: [sr]: 0, [score]: 0.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 136: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 1.0)] 
[EXP] 137: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 1.0)] 
[EXP] 138: [sr]: 0, [score]: 0.8888888888888888, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 0.8888888888888888)] 
[EXP] 139: [sr]: 0, [score]: 0.5833333333333333, [grounding_acc]: 0.8, [score_state]: [(1, 0.25), (2, 0.41666666666666663), (4, 0.5833333333333333)] 
[EXP] 140: [sr]: 0, [score]: 0.25, [grounding_acc]: 1.0, [score_state]: [(1, 0.25)] 
[EXP] 141: [sr]: 0, [score]: 0.3333333333333333, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333)] 
[EXP] 142: [sr]: 0, [score]: 0.3333333333333333, [grounding_acc]: 0.8571428571428571, [score_state]: [(1, 0.08333333333333333), (3, 0.16666666666666666), (5, 0.25), (6, 0.3333333333333333)] 
[EXP] 143: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 1.0)] 
[EXP] 144: [sr]: 0, [score]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.2222222222222222), (2, 0.4444444444444444), (3, 0.6666666666666666)] 
[EXP] 145: [sr]: 0, [score]: 0.4444444444444444, [grounding_acc]: 0.26666666666666666, [score_state]: [(1, 0.2222222222222222), (2, 0.4444444444444444)] 
[EXP] 146: [sr]: 0, [score]: 0.5, [grounding_acc]: 1.0, [score_state]: [(1, 0.16666666666666666), (2, 0.3333333333333333), (3, 0.5)] 
[EXP] 147: [sr]: 0, [score]: 0.5, [grounding_acc]: 1.0, [score_state]: [(1, 0.16666666666666666), (2, 0.3333333333333333), (3, 0.5)] 
[EXP] 148: [sr]: 0, [score]: 0.3333333333333333, [grounding_acc]: 1.0, [score_state]: [(1, 0.19999999999999998), (2, 0.26666666666666666), (4, 0.3333333333333333)] 
[EXP] 149: [sr]: 0, [score]: 0.8888888888888888, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 0.8888888888888888)] 
[EXP] 150: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 1.0)] 
[EXP] 151: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 1.0)] 
[EXP] 152: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 1.0)] 
[EXP] 153: [sr]: 0, [score]: 0.9333333333333333, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 0.9333333333333333)] 
[EXP] 154: [sr]: 0, [score]: 0.9166666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (5, 0.9166666666666666)] 
[EXP] 155: [sr]: 0, [score]: 0.8666666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 0.8666666666666666)] 
[EXP] 156: [sr]: 0, [score]: 0.6666666666666666, [grounding_acc]: 0.16666666666666666, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666)] 
[EXP] 157: [sr]: 0, [score]: 0.9166666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 0.9166666666666666)] 
[EXP] 158: [sr]: 0, [score]: 0.8888888888888888, [grounding_acc]: 0.8, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 0.8888888888888888)] 
